Em qual sistema deve ser realizado o acompanhamento dos chamados (HDs)?,Escalasoft.
Qual tela do sistema deve ser acessada para visualizar todos os chamados de um usuário?,Tela Help Desk.
O que indica o status 'Cadastrado' em um chamado?,O chamado ainda está em edição e não pode ser visualizado pelo TI.
Qual a consequência de um chamado permanecer no status 'Cadastrado' por mais de uma semana?,Exclusão automática pelo sistema.
O que o status 'Ag. Execução' indica sobre a fila do TI?,O chamado está pendente e aguarda a definição de um atendente.
"No status 'Ag. Execução', quem da equipe de TI tem permissão para realizar ações?",Qualquer pessoa da equipe de TI.
O status 'Ag. Escalasoft' indica que o chamado foi direcionado a quais profissionais externos?,Desenvolvedores e analistas da Escalasoft.
Quem é o único responsável por realizar ações diretas em chamados no status 'Ag. Escalasoft'?,Atendentes da Escalasoft.
O que significa o status 'Ag. Homologação'?,O chamado foi respondido e aguarda validação do solicitante.
Qual a finalidade do status 'Ag. Aprovação de Orçamento'?,Aguardar que a GH aprove o custo de uma modificação solicitada.
Sob qual condição um atendente altera o status para 'Ag. Informações Complementares'?,Quando o chamado está incompleto ou faltam detalhes para o atendimento.
O que diferencia o status 'Em Execução' do status 'Ag. Execução'?,"No 'Em Execução', o chamado já possui um atendente responsável definido."
Qual o destino de um chamado após o status 'Cancelado'?,Interrupção definitiva do atendimento por ser considerado desnecessário.
Quando ocorre a transição de um chamado para o status 'Encerrado'?,Quando o solicitante aprova a solução enviada pelo TI.
O que motiva a mudança para o status 'Retorno de Homologação'?,A rejeição da resposta do atendente pelo solicitante.
O que o status 'Retorno da Escalasoft' sinaliza para a equipe de TI?,"O fornecedor devolveu o chamado com uma solução, orçamento ou dúvida."
Para que serve o status 'Ag. Modificações'?,Reformular tecnicamente a solicitação antes de enviá-la à Escalasoft.
Qual status o chamado assume imediatamente após o solicitante responder sobre um orçamento?,Retorno de aprovação de orçamento.
Qual campo permite identificar quando o HD foi alterado para sua situação atual?,Data de mudança de status.
"No campo 'Recurso', o que indica o preenchimento com o nome do seu usuário?",O HD aguarda uma atualização sua ou está sem atendente definido.
O que informa o campo 'Solução' em chamados já respondidos?,A data em que o chamado foi solucionado.
